FIPS,LISA_CL,Percent,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
48377,0,0,0.433707865,0.426966292,0.447727273,0.087104457,0.000509439,0.386120996,0.692073171,0.315589354,0.520114943,0.063953488,0.664853101,0.560315671,0.467105263,0.017799353,0.268476621,0.097902098,0.029490617,0.255639098,0.225247525,0.000617661,0.000493984,0.280442804,0.000454763,0.216960005,0.156251547,0.274768489,0.273000445,0.4414577,0.290479464,0.155711934,0.631895044,0.17775804,0.207701447
48379,0,0,0.591011236,0.557303371,0.609090909,0.112623341,0.00093851,0.309608541,0.265243902,0.619771863,0.41954023,0.333333333,0.911860718,0.854565953,0.355263158,0,0.039215686,0,0.040214477,0.117794486,0.74009901,0.001249215,0.001438951,0.76199262,0.00040833,0.313819817,0.460949489,0.279915188,0.399819093,0.4867265,0.448221376,0.317674888,0.562798834,0.17775804,0.363564889
48381,0,0,0.314606742,0.298876404,0.331818182,0.087444709,0.014318973,0.421708185,0.365853659,0.726235741,0.255747126,0.201550388,0.949945593,0.90529876,0.322368421,0.006472492,0.021116139,0.006993007,0.016085791,0.067669173,0.351485149,0.012545739,0.015265254,0.854243542,0.013089792,0.440837384,0.36299731,0.292999402,0.506722676,0.5389392,0.542226281,0.202108885,0.6103207,0.17775804,0.239621916
48383,0,0,0.301123596,0.283146067,0.334090909,0.147329023,0.000362641,0.129893238,0.106707317,0.581749049,0.701149425,0.46124031,0.961915125,0.906426156,0.358552632,0,0.034690799,0,0.024128686,0.022556391,0.309405941,0.000361228,0.00031831,0.394833948,0.000142028,0.40507274,0.550452963,0.3742955,0.506646021,0.4213471,0.541128428,0.276683623,0.613177843,0.032911062,0.33199385
48385,0,0,0.764044944,0.770786517,0.754545455,0.074174889,0.000235009,0.329181495,0.637195122,0.6121673,0.344827586,0.129844961,0.68117519,0.569334837,0.490131579,0,0.126696833,0,0.168900804,0.383458647,0.277227723,0.000333045,0.000360262,0.664206642,0.000363264,0.081250104,0.206910777,0.06368134,0.330124028,0.3425073,0.173040025,0.273576651,0.99335277,0.121130991,0.322611643
48387,0,1.866081229,0.546067416,0.516853933,0.570454545,0.06668935,0.001028462,0.15480427,0.469512195,0.539923954,0.42816092,0.406976744,0.92491839,0.880496054,0.315789474,0,0.046757164,0,0.040214477,0.077694236,0.641089109,0.001385767,0.001520757,0.686346863,0.000794811,0.229467677,0.291084306,0.2178286,0.311389455,0.4553588,0.521890358,0.523758324,0.754169096,0.231748727,0.465196729
48389,0,0,0.307865169,0.316853933,0.293181818,0.271180674,0.001054598,0.225978648,0.548780488,0.501901141,0.436781609,0.292635659,0.943416757,0.923337091,0.25,0,0.030165913,0,0.029490617,0.070175439,0.28960396,0.001286926,0.001022578,0.269372694,0.000402868,0.283529353,0.232009373,0.174806546,0.434497984,0.516425,0.444938079,0.198779457,0.449912536,0.357711898,0.283405549
48391,0,0,0.478651685,0.442696629,0.475,0.088465464,0.000647308,0.192170819,0.643292683,0.330798479,0.502873563,0.310077519,0.956474429,0.886133033,0.398026316,0,0.034690799,0.013986014,0.008042895,0.047619048,0.448019802,0.000743892,0.000822258,0.697416974,0.000255377,0.255677388,0.295077639,0.20285968,0.488769988,0.4658548,0.449890314,0.230472052,0.554868805,0.111662531,0.36426375
48393,0,0,0.316853933,0.316853933,0.340909091,0.081320177,7.91E-05,0.539145907,0.365853659,0.326996198,0.356321839,0.213178295,0.934711643,0.722660654,0.809210526,0,0.022624434,0,0,0.130325815,0.383663366,7.54E-05,9.86E-05,0.926199262,9.29E-05,0.377934078,0.404118744,0.264058281,0.40418845,0.4761237,0.650144157,0.29610405,0.694868805,0.098406687,0.313299322
48395,1,0,0.442696629,0.386516854,0.486363636,0.094589997,0.001511983,0.316725979,0.329268293,0.551330798,0.442528736,0.302325581,0.929270947,0.853438557,0.411184211,0,0.058823529,0.013986014,0.024128686,0.055137845,0.482673267,0.001783515,0.002001106,0.721402214,0.001147149,0.279232951,0.33940034,0.295971439,0.344903184,0.5005208,0.326595734,0.247601181,0.664723032,0.037416743,0.249039066
